# nom	categorie	source — genere par tools/generer_index_hpcf.py
1Custom SA02	711 in-ear	crinacle
1Custom SA03	711 in-ear	crinacle
1Custom SA05	711 in-ear	crinacle
1MORE Aero (ANC Off)	GRAS RA0045 in-ear	HypetheSonics
1MORE Aero (ANC On)	GRAS RA0045 in-ear	HypetheSonics
1MORE Aero (transparency mode)	GRAS RA0045 in-ear	HypetheSonics
1MORE ComfoBuds Mini	in-ear	DHRME
1MORE Crystal Piston	in-ear	Innerfidelity
1MORE Dual Driver	711 in-ear	crinacle
1MORE EVO	GRAS RA0045 in-ear	HypetheSonics
1MORE Fit Open Earbuds S50	GRAS RA0045 in-ear	HypetheSonics
1MORE Fit Open Earbuds S50	in-ear	Regan Cipher
1MORE Fit SE S30	GRAS RA0045 in-ear	HypetheSonics
1MORE MK801	GRAS 43AG-7 over-ear	crinacle
1MORE MK801	over-ear	Innerfidelity
1MORE Multi Unit Earphones	in-ear	Innerfidelity
1MORE Omthing Airfree 2	in-ear	Regan Cipher
1MORE Penta Driver	GRAS RA0045 in-ear	HypetheSonics
1MORE Piston	711 in-ear	crinacle
1MORE Piston Classic	HMS II.3 in-ear	Rtings
1MORE Piston Fit	HMS II.3 in-ear	Rtings
1MORE PistonBuds Pro	GRAS RA0045 in-ear	HypetheSonics
1MORE PistonBuds Pro Q30	in-ear	Regan Cipher
1MORE Quad Driver	711 in-ear	crinacle
1MORE Quad Driver	Bruel & Kjaer 5128 in-ear	HypetheSonics
1MORE Quad Driver	in-ear	oratory1990
1MORE Quad Driver	HMS II.3 in-ear	Rtings
1MORE Single Driver	711 in-ear	crinacle
1MORE Single Driver	in-ear	oratory1990
1MORE SonoFlow	over-ear	oratory1990
1MORE Stylish	711 in-ear	crinacle
1MORE Triple Driver	711 in-ear	crinacle
1MORE Triple Driver	Bruel & Kjaer 5128 in-ear	HypetheSonics
1MORE Triple Driver	in-ear	Innerfidelity
1MORE Triple Driver	HMS II.3 in-ear	Rtings
1MORE Triple Driver LTNG	in-ear	oratory1990
1MORE Triple Driver Over Ear	over-ear	Innerfidelity
1MORE Triple Driver Over Ear	over-ear	oratory1990
1MORE Voice of China	in-ear	Innerfidelity
634ears MIROAK-II	in-ear	Super Review
64 Audio A12t	711 in-ear	crinacle
64 Audio A12t (CIEM)	711 in-ear	crinacle
64 Audio A12t (m15 Apex module)	in-ear	freeryder05
64 Audio A12t (m15 Apex module)	in-ear	oratory1990
64 Audio A12t (m15 Apex module)	in-ear	Super Review
64 Audio A12t (m20 Apex module)	in-ear	freeryder05
64 Audio A12t (m20 Apex module)	in-ear	oratory1990
64 Audio A12t (m20 Apex module)	in-ear	Super Review
64 Audio A12t (mX Apex module)	in-ear	freeryder05
64 Audio A12t (mX Apex module)	in-ear	Super Review
64 Audio A18s (CIEM)	711 in-ear	crinacle
64 Audio A2e	711 in-ear	crinacle
64 Audio A4t	711 in-ear	crinacle
64 Audio A6	711 in-ear	crinacle
64 Audio A6t	711 in-ear	crinacle
64 Audio A6t (m20 Apex module)	711 in-ear	crinacle
64 Audio Aspire 1	in-ear	Super Review
64 Audio Aspire 2	in-ear	Super Review
64 Audio Aspire 3	in-ear	Super Review
64 Audio Aspire 4	in-ear	Super Review
64 Audio Duo	711 in-ear	crinacle
64 Audio Duo	in-ear	Kazi
64 Audio Duo	in-ear	Super Review
64 Audio Fourte Blanc	in-ear	Super Review
64 Audio N8  (CIEM)	711 in-ear	crinacle
64 Audio N8  (m15 Apex module)	711 in-ear	crinacle
64 Audio N8  (m15 Apex module)	in-ear	freeryder05
64 Audio N8 (CIEM, m15 Apex module)	711 in-ear	crinacle
64 Audio N8 (CIEM, m20 Apex module)	711 in-ear	crinacle
64 Audio N8 (dd disabled)	711 in-ear	crinacle
64 Audio N8 (m2 Apex module)	in-ear	freeryder05
64 Audio N8 (m20 Apex module, modded)	711 in-ear	crinacle
64 Audio N8 (modded)	711 in-ear	crinacle
64 Audio N8 (MX Apex module)	in-ear	freeryder05
64 Audio N8 (vent blocked)	711 in-ear	crinacle
